hostname,num_stars,num_planets,orbital_period_mean,inner_orbit,outer_orbit,planet_radius_mean,planet_radius_std,planet_mass_mean,planet_mass_std,eccentricity_mean,stellar_temp,stellar_radius,stellar_mass,stellar_metallicity,log_orbital_period_mean,orbital_span,system_compactness,mass_to_radius_ratio,planet_per_star_ratio
11 Com,2,1,323.21,1.178,1.178,12.2,0.0,4914.89848585,0.0,0.238,4874.0,13.76,2.09,-0.26,2.50948478922394,0.0,0.0,402.86053162704917,0.5
11 UMi,1,1,516.21997,1.53,1.53,12.3,0.0,4684.8142,0.0,0.08,4213.0,29.79,2.78,-0.02,2.7128348012404855,0.0,0.0,380.8792032520325,1.0
14 And,1,1,186.76,0.775,0.775,13.1,0.0,1131.15130051,0.0,0.0,4888.0,11.55,1.78,-0.21,2.271283865258768,0.0,0.0,86.34742751984733,1.0
14 Her,1,2,8749.434445,2.839,20.0,12.55,0.07071067811865388,2669.7586188,224.73862184341795,0.44415000000000004,5338.0,0.93,0.97,0.43,3.94197998155331,17.161,0.1165433249810617,212.72977042231074,2.0
16 Cyg B,3,1,798.5,1.66,1.66,13.5,0.0,565.7374,0.0,0.68,5750.0,1.13,1.08,0.06,2.9022749204745018,0.0,0.0,41.906474074074076,0.3333333333333333
17 Sco,1,1,578.38,1.45,1.45,12.9,0.0,1373.01871824,0.0,0.06,4157.0,25.92,1.22,-0.01,2.762213266928569,0.0,0.0,106.43555955348837,1.0
18 Del,2,1,982.85,2.476,2.476,12.5,0.0,2926.24614325,0.0,0.024,4980.0,8.8,2.1,-0.06,2.9924872419998882,0.0,0.0,234.09969146,0.5
24 Boo,1,1,30.33,0.194,0.194,13.9,0.0,280.64248338,0.0,0.032,4816.0,12.19,1.05,-0.78,1.4818724103106635,0.0,0.0,20.19010671798561,1.0
24 Sex,1,2,667.9,1.333,2.08,13.65,0.3535533905932738,452.89,253.9503293953367,0.19,5098.0,4.9,1.54,-0.03,2.8247114434647345,0.7470000000000001,2.6773761713520745,33.17875457875458,2.0
2MASS J19383260+4603591,2,3,636.3333333333334,0.92,0.92,13.466666666666667,0.05773502691896288,558.3195771966666,46.09574677806122,0.20666666666666667,29564.0,0.203,0.48,-0.092,2.803684673674004,0.0,0.0,41.459374544306925,1.5
4 UMa,1,1,270.27,0.877,0.877,12.6,0.0,2511.48007211,0.0,0.453,4415.0,18.11,1.234,-0.25,2.4317978416383057,0.0,0.0,199.3238152468254,1.0
47 UMa,1,3,5823.666666666667,2.1,11.6,13.633333333333333,0.5131601439446883,498.9736666666667,316.8158316440852,0.09666666666666668,5872.0,1.21334,1.06,0.04,3.765196508995533,9.5,0.3157894736842105,36.59953545232274,3.0
51 Peg,1,1,4.230785,0.0527,0.0527,14.3,0.0,146.2018,0.0,0.013,5758.0,1.17561,1.03,0.18,0.6264209559183683,0.0,0.0,10.223902097902096,1.0
55 Cnc,2,7,1023.8723398799999,0.01544,5.6,8.975,4.821843527116989,320.74945999999994,519.4617198096103,0.05904,5198.0,0.98,1.015,0.39,3.0102458106028083,5.58456,1.253455957138969,35.738101392757656,3.5
55 Cnc B,2,7,20.2732,0.044,0.13,1.925,0.3323401871576775,4.4,1.272792206135785,0.0,3286.0,0.274,0.26,0.16,1.3069223048180791,0.08600000000000001,81.3953488372093,2.285714285714286,3.5
6 Lyn,1,1,919.86,2.028,2.028,13.4,0.0,597.83523357,0.0,0.042,4941.0,4.94,1.32,-0.17,2.9637217340258637,0.0,0.0,44.61456966940298,1.0
61 Vir,1,3,55.082,0.050201,0.476,3.893333333333333,1.578237413488013,15.4,9.224424101265075,0.20333333333333334,5577.0,0.963,0.942,-0.01,1.7410097008876202,0.425799,7.045577843066799,3.955479452054795,3.0
7 CMa,1,2,865.55,1.758,2.153,13.65,0.3535533905932738,432.24879999999996,220.24495329923,0.07,4826.0,4.87,1.34,0.21,2.9372921607115727,0.395,5.063291139240506,31.66657875457875,2.0
70 Vir,1,1,116.688,0.481,0.481,12.6,0.0,2380.45,0.0,0.3988,5495.0,1.89,1.09,-0.09,2.067026196218923,0.0,0.0,188.92460317460316,1.0
75 Cet,2,2,1374.12,1.912,3.929,13.600000000000001,0.4242640687119276,538.878064065,352.1654204293431,0.057999999999999996,4809.0,10.38,1.92,0.1,3.138024660716386,2.017,0.991571641051066,39.623387063602934,1.0
8 UMi,1,1,93.31,0.462,0.462,13.5,0.0,524.41687155,0.0,0.062,4847.0,10.73,1.51,-0.03,1.969928189428116,0.0,0.0,38.84569418888889,1.0
81 Cet,1,1,1005.57,2.104,2.104,13.1,0.0,1051.05854195,0.0,0.037,4734.0,11.21,1.23,-0.11,3.0024123082053427,0.0,0.0,80.23347648473283,1.0
91 Aqr,3,1,181.4,0.7,0.7,13.1,0.0,1017.0,0.0,0.027,4665.0,11.0,1.4,-0.03,2.2586372827240764,0.0,0.0,77.63358778625954,0.3333333333333333
AF Lep,1,1,8905.0,8.996,8.996,13.0,0.0,1147.36054927,0.0,0.015,6140.0,1.25,1.218,0.19,3.9496339237992624,0.0,0.0,88.25850379,1.0
AU Mic,1,4,18.29210725,0.07,0.119,3.3675,1.837142255424622,11.40075,8.491605791407576,0.08435,3540.0,0.862,0.635,0.01,1.262263739064791,0.04899999999999999,81.63265306122452,3.3855233853006683,4.0
BD+03 2562,1,1,481.9,1.3,1.3,12.7,0.0,2034.112,0.0,0.2,4095.0,32.35,1.14,-0.71,2.6829569263012085,0.0,0.0,160.16629921259843,1.0
BD+14 4559,1,1,268.94,0.78,0.78,13.8,0.0,330.5432,0.0,0.29,4864.0,0.86,0.49,0.17,2.429655400539932,0.0,0.0,23.95240579710145,1.0
BD+15 2375,1,1,153.22,0.576,0.576,13.8,0.0,337.21763,0.0,0.001,4649.0,8.95,1.08,-0.22,2.1853154580036565,0.0,0.0,24.436060144927534,1.0
