# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Apr 15 17:57:04 2026
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
#
loc_rowid,pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim
1,11 Com b,11 Com,2,1,323.21000000000,0.06000000000,-0.05000000000,0,1.1780000000,0.0000000000,0.0000000000,0,12.20000000,,,0,4914.89848585,39.09289406,-39.72855088,0,Msini,0.238000,0.007000,-0.007000,0,4874.00,,,0,13.760000,2.850000,-2.450000,0,2.090000,0.640000,-0.630000,0,-0.2600,0.1000,-0.1000,0
2,11 UMi b,11 UMi,1,1,516.21997000000,3.20000000000,-3.20000000000,0,1.5300000000,0.0700000000,-0.0700000000,0,12.30000000,,,0,4684.81420000,794.57500000,-794.57500000,0,Msini,0.080000,0.030000,-0.030000,0,4213.00,46.00,-46.00,0,29.790000,2.840000,-2.840000,0,2.780000,0.690000,-0.690000,0,-0.0200,,,0
3,14 And b,14 And,1,1,186.76000000000,0.11000000000,-0.12000000000,0,0.7750000000,0.0000000000,0.0000000000,0,13.10000000,,,0,1131.15130051,36.23243840,-38.77506565,0,Msini,0.000000,,,0,4888.00,,,0,11.550000,1.120000,-0.510000,0,1.780000,0.430000,-0.290000,0,-0.2100,0.1000,-0.1000,0
4,14 Her b,14 Her,1,2,1766.41000000000,0.67000000000,-0.68000000000,0,2.8390000000,0.0390000000,-0.0410000000,0,12.50000000,,,0,2828.67282230,413.17692910,-540.30829190,0,Mass,0.368300,0.002900,-0.002900,0,5338.00,25.00,-25.00,0,0.930000,0.010000,-0.010000,0,0.970000,0.040000,-0.040000,0,0.4300,0.0700,-0.0700,0
5,16 Cyg B b,16 Cyg B,3,1,798.50000000000,1.00000000000,-1.00000000000,0,1.6600000000,0.0300000000,-0.0300000000,0,13.50000000,,,0,565.73740000,25.42640000,-25.42640000,0,Msini,0.680000,0.020000,-0.020000,0,5750.00,8.00,-8.00,0,1.130000,0.010000,-0.010000,0,1.080000,0.040000,-0.040000,0,0.0600,,,0
6,17 Sco b,17 Sco,1,1,578.38000000000,2.01000000000,-2.09000000000,0,1.4500000000,0.0200000000,-0.0200000000,0,12.90000000,,,0,1373.01871824,47.67426105,-38.13940884,0,Msini,0.060000,0.030000,-0.020000,0,4157.00,11.00,-10.00,0,25.920000,0.780000,-0.740000,0,1.220000,0.130000,-0.140000,0,-0.0100,0.1000,-0.1000,0
7,18 Del b,18 Del,2,1,982.85000000000,1.06000000000,-0.92000000000,0,2.4760000000,0.0020000000,-0.0020000000,0,12.50000000,,,0,2926.24614325,50.85254512,-24.47278734,0,Msini,0.024000,0.007000,-0.018000,0,4980.00,,,0,8.800000,0.610000,-0.400000,0,2.100000,0.130000,-0.090000,0,-0.0600,0.1000,-0.1000,0
8,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,,,,,330.0000000000,,,0,18.64700000,,,0,3000.00000000,300.00000000,-300.00000000,0,Mass,,,,,4060.00,300.00,-200.00,0,1.313160,0.176833,-0.102363,0,0.850000,0.200000,-0.100000,0,,,,
9,24 Boo b,24 Boo,1,1,30.33000000000,0.00000000000,-0.01000000000,0,0.1940000000,0.0000000000,0.0000000000,0,13.90000000,,,0,280.64248338,11.44182265,-13.66662150,0,Msini,0.032000,0.039000,-0.023000,0,4816.00,,,0,12.190000,1.450000,-1.280000,0,1.050000,0.270000,-0.180000,0,-0.7800,0.1000,-0.1000,0
10,24 Sex b,24 Sex,1,2,452.80000000000,2.10000000000,-4.50000000000,0,1.3330000000,0.0040000000,-0.0090000000,0,13.40000000,,,0,632.46000000,82.63000000,-120.77000000,0,Msini,0.090000,0.140000,-0.060000,0,5098.00,44.00,-44.00,0,4.900000,0.080000,-0.080000,0,1.540000,0.080000,-0.080000,0,-0.0300,0.0400,-0.0400,0
11,24 Sex c,24 Sex,1,2,883.00000000000,32.40000000000,-13.80000000000,0,2.0800000000,0.0500000000,-0.0200000000,0,13.90000000,,,0,273.32000000,111.24000000,-69.92000000,0,Msini,0.290000,0.160000,-0.090000,0,5098.00,44.00,-44.00,0,4.900000,0.080000,-0.080000,0,1.540000,0.080000,-0.080000,0,-0.0300,0.0400,-0.0400,0
12,2M0437 b,2MASS J04372171+2651014,1,1,,,,,118.0000000000,1.3000000000,-1.3000000000,0,13.00000000,,,0,1271.31362800,317.82840700,-317.82840700,0,Mass,,,,,3100.00,100.00,-100.00,0,0.840000,0.110000,-0.110000,0,0.170000,0.010000,-0.020000,0,0.0100,0.0500,-0.0500,0
13,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,,,,,84.0000000000,,,0,12.30000000,,,0,4131.79000000,317.83000000,-317.83000000,0,Mass,,,,,,,,,,,,,0.190000,0.020000,-0.020000,0,,,,
14,2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,,,,,52.0000000000,6.0000000000,-6.0000000000,0,11.20900000,,,0,7786.50000000,794.50000000,-794.50000000,0,Mass,,,,,3530.00,50.00,-50.00,0,0.366450,0.011155,-0.011155,0,0.400000,0.050000,-0.050000,0,,,,
15,2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,,,,,156.0000000000,10.0000000000,-10.0000000000,0,16.14096000,0.33627000,-0.33627000,0,4417.83700000,349.61300000,-349.61300000,0,Mass,,,,,3064.00,76.00,-76.00,0,0.281000,0.013000,-0.013000,0,0.108000,0.011000,-0.011000,0,,,,
16,2MASS J0249-0557 c,2MASS J0249-0557 A,2,1,,,,,1950.0000000000,200.0000000000,-200.0000000000,0,12.40000000,,,0,3686.80952120,413.17692910,-317.82840700,0,Mass,,,,,2859.00,157.00,-157.00,0,0.315959,0.009624,-0.009624,0,0.046000,0.012000,-0.011000,0,,,,
17,2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,,,,,572.0000000000,7.0000000000,-7.0000000000,0,12.20000000,,,0,5720.91132600,317.82840700,-317.82840700,0,Mass,,,,,2943.00,157.00,-157.00,0,0.289776,0.010070,-0.010070,0,0.264996,0.020979,-0.020979,0,,,,
18,2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,,,,,15.0000000000,,,0,12.60000000,,,0,2383.60000000,794.50000000,-794.50000000,0,Mass,,,,,2936.00,182.00,-182.00,0,0.231916,0.011553,-0.011553,0,0.019000,,,0,,,,
19,2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,,,,,266.0000000000,8.0000000000,-8.0000000000,0,11.90000000,,,0,8899.19539600,3178.28407000,-2224.79884900,0,Mass,,,,,,,,,,,,,,,,,,,,
20,2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,,,,,587.0000000000,2.0000000000,-2.0000000000,0,12.10000000,,,0,6356.56814000,317.82840700,-317.82840700,0,Mass,,,,,3021.00,157.00,-157.00,0,0.600455,0.017923,-0.017923,0,0.588460,0.020331,-0.020331,0,,,,
21,2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,,,,,46.0000000000,5.0000000000,-5.0000000000,0,15.69257298,0.33626942,-0.44835923,0,1652.70771640,190.69704420,-222.47988490,0,Mass,,,,,2825.00,157.00,-157.00,0,0.218870,0.006976,-0.006976,0,0.188001,0.020227,-0.020227,0,,,,
